iter	Passed	Remaining
400	23203	92524
401	23231	92347
402	23261	92178
403	23386	92389
404	23440	92314
405	23472	92156
406	23505	91999
407	23531	91820
408	23601	91809
409	23707	91940
410	23736	91770
411	23862	91973
412	23903	91851
413	23933	91686
414	24005	91681
415	24065	91635
416	24096	91474
417	24131	91329
418	24234	91442
419	24277	91331
420	24308	91171
421	24340	91016
422	24453	91165
423	24489	91028
424	24521	90875
425	24575	90801
426	24658	90836
427	24698	90713
428	24732	90569
429	24803	90560
430	24870	90538
431	24906	90400
432	24934	90237
433	24984	90150
434	25089	90264
435	25140	90182
436	25174	90038
437	25205	89888
438	25233	89726
439	25289	89662
440	25390	89758
441	25423	89616
442	25452	89457
443	25479	89293
444	25576	89373
445	25639	89336
446	25671	89190
447	25697	89023
448	25724	88860
449	25839	89004
450	25874	88869
451	25985	88996
452	26037	88918
453	26067	88768
454	26095	88610
455	26135	88493
456	26240	88597
457	26275	88464
458	26305	88313
459	26339	88178
460	26555	88652
461	26739	89016
462	26770	88868
463	26796	88704
464	26867	88692
465	26965	88765
466	26999	88630
467	27027	88474
468	27079	88399
469	27171	88453
470	27208	88326
