iter	Logloss
175	0.5103773709
176	0.5102680604
177	0.5101878411
178	0.5101156869
179	0.5100497687
180	0.509976404
181	0.5099024328
182	0.5097803109
183	0.5097226118
184	0.5096554181
185	0.5095433567
186	0.5094487559
187	0.5093745631
188	0.5092932114
189	0.5092162959
190	0.5091503907
191	0.5090676899
192	0.508997025
193	0.5089147589
194	0.5088257134
195	0.5087249061
196	0.5086339198
197	0.5085378624
198	0.5084644673
199	0.508376151
200	0.508290618
201	0.5082111142
202	0.5081356313
203	0.5080390374
204	0.5079735571
205	0.5079081719
206	0.5078369297
207	0.5077536916
208	0.5077033248
209	0.5076435865
210	0.5075847629
211	0.5074967181
212	0.5074471759
213	0.5073616448
214	0.507286282
215	0.507191874
216	0.5070799085
217	0.5069975996
218	0.5069273941
219	0.5068478799
220	0.5067888379
221	0.5067039213
222	0.5066249489
223	0.5065434742
224	0.5064814792
225	0.5064189911
226	0.5063496095
227	0.5062522903
228	0.5061670465
229	0.5061166434
230	0.5060442271
231	0.5059552358
232	0.5058764914
233	0.5058110706
234	0.5057120346
235	0.5056318266
236	0.505549375
237	0.5054844268
238	0.5054009609
239	0.5053116385
240	0.5052393999
241	0.5051662426
242	0.5050922556
243	0.5050223206
244	0.5049500727
245	0.5048799405
246	0.5047862194
247	0.504733337
248	0.5046761734
249	0.5045950717
250	0.5045192932
251	0.5044705001
252	0.5043975876
253	0.5043510765
254	0.5042671036
255	0.5041904111
256	0.5041137233
257	0.5040405204
258	0.5039830142
259	0.5039051944
260	0.5038585797
261	0.5037745112
262	0.5036947493
263	0.5036493855
264	0.5035796689
265	0.5035275849
266	0.5034631427
267	0.5033970221
268	0.5033378426
269	0.5032699034
270	0.5032099908
271	0.5031573224
272	0.5030888835
273	0.503030449
274	0.5029607731
275	0.502892165
276	0.5028406023
277	0.5027676646
278	0.5026903302
279	0.5026125793
280	0.5025334802
281	0.5024470337
282	0.5023992019
283	0.5023364348
284	0.5022553885
285	0.502214101
286	0.5021567025
287	0.5021148317
288	0.5020408996
289	0.50197294
290	0.5019100711
291	0.5018512422
292	0.5017631269
293	0.5017081294
294	0.5016557126
295	0.5016049019
296	0.5015704382
297	0.5015137709
298	0.501439327
299	0.5013309369
300	0.5012372953
301	0.501164001
302	0.501099731
303	0.5010367946
304	0.5009974634
305	0.5009429913
306	0.5008584682
307	0.500787729
308	0.5007443244
309	0.5006907749
310	0.5006389606
311	0.5005849521
312	0.5005278433
313	0.5004580361
314	0.5003913294
315	0.5003346798
316	0.5002542897
317	0.5002007542
318	0.5001346271
319	0.5000617507
320	0.4999927999
321	0.4999375347
322	0.499883938
323	0.4998352605
324	0.4997693088
325	0.4996878683
326	0.4996262487
327	0.4995670064
328	0.4995060158
329	0.4994152622
330	0.4993437068
331	0.499272088
332	0.4992260537
333	0.4991548379
334	0.4991014468
335	0.4990612948
336	0.4990103319
337	0.4989529667
338	0.4988703873
339	0.4987998447
340	0.4987259801
341	0.4986641005
342	0.4986134366
343	0.4985381148
344	0.4984674655
345	0.4983791546
346	0.4982999353
347	0.4982291877
348	0.4981794854
349	0.4981090119
350	0.4980612438
351	0.4979959245
352	0.497939062
353	0.4979043668
354	0.4978271762
355	0.4977681595
356	0.4977092876
357	0.4976559636
358	0.4975957756
359	0.4975483385
360	0.4974789165
361	0.4974228343
362	0.4973426386
363	0.4973010547
364	0.4972264196
365	0.4971827572
366	0.497119875
367	0.4970587204
368	0.4969571995
369	0.4968950152
370	0.4968321884
371	0.4967759835
372	0.4966906247
373	0.4966312055
374	0.4965806852
375	0.4965122426
376	0.4964618009
377	0.4964188313
378	0.4963722699
379	0.4963174476
380	0.4962513195
381	0.4961929823
382	0.4961489038
383	0.4960384667
384	0.4959981546
385	0.4959180615
386	0.495848632
387	0.4958049533
388	0.4957501529
