iter	Logloss
0	0.6859636732
1	0.6795795657
2	0.6731614047
3	0.6669687626
4	0.6611178794
5	0.6553289711
6	0.6501314573
7	0.6450640156
8	0.6400750747
9	0.6353452255
10	0.6306574171
11	0.6261744226
12	0.6218211751
13	0.6176541575
14	0.6137437126
15	0.6099821615
16	0.6063795083
17	0.6028762749
18	0.5995914702
19	0.5965359086
20	0.5936169412
21	0.5907357108
22	0.5880108645
23	0.5853445047
24	0.5828074869
25	0.5803914657
26	0.5780999581
27	0.5759497177
28	0.5737713184
29	0.5715961895
30	0.5696005503
31	0.5676999996
32	0.5658007089
33	0.5640467111
34	0.5624328445
35	0.560700204
36	0.5591246399
37	0.5576454789
38	0.5562305568
39	0.554726172
40	0.5533659495
41	0.5520530362
42	0.5507589515
43	0.5495870269
44	0.5484437135
45	0.5473471873
46	0.5462396902
47	0.5451756169
48	0.5441114732
49	0.5432009727
50	0.5422854093
51	0.5414085732
52	0.5405460259
53	0.5397199247
54	0.5389357699
55	0.5381100483
56	0.5373482307
57	0.536652346
58	0.5359731315
59	0.5353388342
60	0.5345729277
61	0.5339774787
62	0.5333459325
63	0.5326913519
64	0.5321399093
65	0.5316443355
66	0.5311006755
67	0.5306492795
68	0.5300952359
69	0.5295227948
70	0.5290961559
71	0.5286557315
72	0.5282235163
73	0.5278705778
74	0.5274389949
75	0.5270249961
76	0.5266298286
77	0.5261946171
78	0.5258100727
79	0.5254437596
80	0.525043688
81	0.5246634345
82	0.5243341836
83	0.5239811719
84	0.5236489945
85	0.5233085286
86	0.5230216
87	0.5227245863
88	0.522467679
89	0.5221887761
90	0.5219333215
91	0.5217177172
92	0.5214273273
93	0.5211795332
94	0.520988775
95	0.5207154733
96	0.5204538244
97	0.5202322122
98	0.5199903772
99	0.5197795153
100	0.5195723336
101	0.5193902493
102	0.5192079538
103	0.5190302788
104	0.5188581972
105	0.5186450855
106	0.5184378122
107	0.51828825
108	0.518120591
109	0.5179361964
110	0.5177203102
111	0.517555898
112	0.517404113
113	0.5172754624
114	0.5171167085
115	0.5169518168
116	0.516791994
117	0.5166402504
118	0.5164913801
119	0.5163217489
120	0.5161967067
121	0.5160639026
122	0.5159033395
123	0.5157533545
124	0.515606749
125	0.5154819801
126	0.5153653456
127	0.5152306264
128	0.5150573693
129	0.5149086544
130	0.5147791257
131	0.5146538261
132	0.5145215996
133	0.5143983193
134	0.5142447351
135	0.5141242499
136	0.5140178321
137	0.5138948542
138	0.513803264
139	0.513715297
140	0.5136179267
141	0.5135100716
142	0.5134145343
143	0.5132943596
144	0.5131971054
145	0.5130709718
146	0.5129661903
147	0.5128577689
148	0.5127630419
149	0.5126703314
150	0.5125604613
151	0.5124491515
152	0.5123840847
153	0.5122828022
154	0.5121794913
155	0.5120868382
156	0.5119540228
157	0.5118449612
158	0.5117427108
159	0.5116743623
160	0.5115847114
161	0.5114892834
162	0.5113963048
163	0.5113170424
164	0.5112503193
165	0.5111619334
166	0.5110890456
167	0.5109718002
168	0.5108942731
169	0.5108252193
170	0.5107616083
171	0.5106925362
172	0.5106141146
173	0.5105134128
174	0.5104412124
